CCS,Coal(KG/T),Bentonite(KG/T),Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
188,14,3.81,14,3.016666667,477.8333333,3.6,900,1020,1150,1230,1300,1250,1250,900,12070,93.06,5.19,12.33,24.21,62.18,62.79
188,13.57,5.66,14.27,2.733333333,472.8333333,3.55,910,1010,1120,1170,1260,1200,1200,1140,10240,93.46,4.93,12.28,24.02,62.22,62.91
188,13.3,5.65,13.02,2.823333333,482.6666667,3.45,910,1010,1120,1170,1260,1200,1200,1170,11500,93.68,4.62,12.46,23.66,62.54,63.28
188,13.07,2.89,14.52,2.856666667,479.6666667,3.7,920,1020,1120,1170,1260,1200,1210,1160,10710,93.09,5.02,12.35,23.66,62.08,62.91
188,13,3.9,13,3.183333333,493,3.2,920,1020,1150,1230,1300,1300,1250,900,13090,92.79,4.75,12.5,23.07,62.12,62.92
188,12.94,3.9,15,3.003333333,480,3.25,835,1000,1150,1230,1303.333333,1250,1250,900,12055,92.7,5.42,12.22,23.79,62.17,62.92
188,12.93,3.91,13,2.96,482.6666667,3.066666667,900,1050,1200,1250,1300,1250,1250,910,11520,93.19,5,12.18,23.74,62.21,63.23
188,12.91,6.41,15,3.086666667,516.1666667,3.35,930,1030,1150,1250,1280,1250,1170,880,12005,93.27,4.83,12.03,23.94,61.91,62.73
188,12.75,6.07,13.38,3.15,488,3.3,930,1040,1150,1250,1300,1300,1250,1100,13015,93.46,4.83,12.29,24.29,62.17,63.22
188,12.62,3.92,14,3.053333333,472.8333333,3.7,920,1000,1120,1220,1300,1250,1250,900,11730,92.58,5.52,12.01,23.7,62.22,63.02
188,12.58,6.02,13.46,3.113333333,500,3.4,930,1040,1150,1220,1300,1300,1180,1000,12800,93.18,5.07,12.21,23.22,62.17,63.36
188,12.44,6.22,12,3.013333333,507.3333333,3.016666667,900,1000,1100,1180,1260,1200,1200,1156.666667,13020,93.16,4.89,12.26,23.98,62.76,63.57
188,12.02,6.01,15,3.01,494.3333333,3.466666667,930,1030,1150,1250,1280,1250,1170,880,12315,93.73,4.75,12.2,23.76,62,62.65
188,12,3.97,14,3.08,495,3.233333333,900,1030,1130,1230,1280,1280,1250,906.6666667,12100,92.6,5.14,12.24,23.89,62.07,62.93
188,12,5.96,14,2.9,494,3.5,930,1030,1150,1250,1280,1250,1170,880,12245,93.23,5.14,12.01,23.81,61.83,62.62
188,11.99,6,16,2.716666667,494,3.45,930,1030,1150,1250,1280,1250,1180,890,11005,93.55,4.59,12.03,23.6,61.77,62.69
188,11.49,3.72,11,2.85,512.5,3.866666667,900,1000,1100,1200,1250,1280,1200,950,12095,93,5.22,12.24,22.52,62.34,63.18
189,17.02,3.88,14,2.51,476.6666667,3,820,1000,1150,1250,1280,1280,1250,900,12105,92.83,5.19,12.14,23.83,62.18,63.14
189,14.99,3.96,15,2.806666667,505,3.466666667,900,1010,1100,1200,1300,1280,1280,970,11610,93.23,4.84,12.21,23.47,62.19,62.86
189,14.93,4.34,14,2.803333333,500,3.2,900,1080,1163.333333,1246.666667,1293.333333,1280,1280,1066.666667,11050,93.17,5.28,11.78,23.75,61.83,62.71
189,14.84,5.09,14,2.93,491.3333333,3.533333333,900,1000,1100,1200,1300,1280,1280,950,11795,93.07,5.03,11.84,24.03,61.85,62.52
189,14.3,6.2,12,2.97,477,2.7,900,1000,1120,1180,1260,1200,1200,1180,12100,93.3,5.09,11.95,24.05,63.06,63.81
189,14.03,5.92,15.58,2.75,450,3.3,910,1010,1120,1170,1240,1220,1200,1180,6415,93.51,4.4,12.28,24.14,62.02,63.03
189,14,5.45,14,2.613333333,491,3.366666667,910,1050,1200,1250,1300,1300,1280,1200,11000,93.11,5.15,11.98,24.04,61.84,62.51
189,13.89,5.83,13.34,3.143333333,470,3.45,910,1020,1130,1170,1260,1200,1200,1180,11660,93.5,4.67,12.39,23.21,62.64,63.49
189,13.23,5.63,12.13,3.09,509.1666667,3.05,900,1000,1100,1180,1260,1200,1200,1110,13150,92.68,5.34,12.53,23.61,62.82,63.56
189,13.13,5.59,11.14,3.016666667,517.1666667,2.933333333,900,1180,1000,1180,1260,1200,1200,1130,12870,93.09,4.88,12.38,23.57,62.78,63.49
189,13,3.91,16,2.743333333,483.8333333,3.066666667,900,1050,1150,1220,1280,1280,1250,1000,12030,93.1,5.06,11.84,23.33,61.9,62.72
189,12.95,3.91,13,3.096666667,490.6666667,3.166666667,920,1020,1150,1230,1286.666667,1286.67,1250,886.6666667,13055,92.62,4.79,12.12,23.92,62.14,63.23
189,12.86,6.11,13.64,2.87,477,3.2,936.6666667,1050,1180,1240,1300,1300,1180,1150,12440,93.55,4.81,12.05,23.72,62.29,63.36
189,12.1,6.09,13.66,3.153333333,505,3.4,930,1040,1150,1250,1300,1300,1300,1300,13145,93.35,4.79,12.37,23.31,62.14,63.21
