date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
6/17/2023,188,13.07,2.89,360,14.52,2.856666667,479.6666667,3.7,920,1020,1120,1170,1260,1200,1210,1160,85.89,10710,93.09,5.02,12.35,23.66,62.08,62.91
6/16/2023,194,13.03,3.14,360,13.95,2.8,481.5,3.7,920,1020,1120,1170,1250,1200,1210,1160,86.12,10825,93.65,4.64,12.42,23.92,62.32,63.05
5/25/2023,196,13.06,5.8,0,13.37,2.87,453.8333333,3.3,900,1000,1120,1170,1260,1260,1200,1160,83.29,11025,93.68,4.75,12.24,24.33,61.62,62.5
6/21/2023,201,12.84,3.98,440,15.02,2.913333333,473.5,3.7,920,1020,1120,1170,1260,1200,1210,1160,83.43,11055,93.64,4.47,12.65,23.07,62.16,62.88
6/18/2023,194,12.74,2.89,380,14.92,2.923333333,475,3.7,920,1020,1120,1170,1260,1200,1210,1160,85.72,11065,93.71,4.78,12.57,22.93,61.9,62.77
6/19/2023,197,12.76,2.79,360,14.82,2.983333333,476,3.7,920,1020,1120,1170,1260,1200,1210,1160,85.56,11130,94.02,4.47,12.21,23.84,61.86,62.72
6/22/2023,195,13.45,3.74,460,15.08,2.916666667,478.3333333,3.7,920,1020,1120,1170,1260,1200,1210,1160,86.55,11230,93.4,4.79,12.73,22.93,62.01,62.72
6/20/2023,190,12.71,3.73,300,15.32,2.876666667,465,3.7,920,1020,1120,1170,1260,1200,1210,1160,85.84,11255,93.47,4.56,12.59,23.86,61.8,62.79
30-Apr,185,13.45,3.13,600,11,3.06,509.3333333,3.283333333,900,1000,1100,1180,1260,1200,1200,1156.666667,83.46,12785,93.03,5.32,12.39,24.04,62.85,63.6
28-Apr,188,12.44,6.22,500,12,3.013333333,507.3333333,3.016666667,900,1000,1100,1180,1260,1200,1200,1156.666667,84.32,13020,93.16,4.89,12.26,23.98,62.76,63.57
5/24/2023,202,13.73,5.87,0,16.61,2.593333333,439.6666667,3.3,900,1000,1120,1170,1260,1200,1200,1150,0,7500,93.61,4.77,12.33,23.49,61.81,62.44
8/22/2023,193,12.45,4.06,375,17.83,3.04,465,3.4,920,1000,1100,1200,1280,1200,1200,1150,67.97,7630,93.32,4.95,12.21,23.43,62.21,63.4
06-09-2023,193,14.25,6.02,0,15.71,2.773333333,440.1666667,3.1,910,1010,1120,1170,1260,1200,1200,1150,82.23,8140,93.39,4.62,12.4,24.13,61.98,63.14
14-Apr,230,11.94,4.02,300,18,2.283333333,441.1666667,3.366666667,850,1000,1150,1243.333333,1256.666667,1270,1276.666667,1150,,8205,93.85,4.33,11.79,22.67,62.95,63.36
5/16/2023,200,13.98,5.88,0,14.91,2.813333333,405,3.5,900,990,1140,1170,1260,1200,1200,1150,82.51,8510,93.09,5.1,12.2,23.35,61.92,62.92
5/14/2023,206,14.57,4.78,0,16.16,2.616666667,475.6666667,3.5,900,990,1140,1170,1260,1200,1200,1150,83.24,8580,93.56,4.74,12.37,23.8,62.41,63.06
5/15/2023,205,14.61,4.87,0,15.65,2.666666667,434,3.5,900,990,1140,1170,1260,1200,1200,1150,82.79,8830,92.99,5.13,12.29,23.76,62.05,62.99
5/13/2023,212,8.29,4.25,0,14.43,2.67,468.5,3.4,900,990,1140,1170,1260,1200,1200,1150,83.59,9645,93.68,4.65,12.16,23.66,62.43,63.16
06-10-2023,182,13.94,4.98,120,15.21,2.773333333,457.8333333,3.3,910,1010,1120,1170,1260,1200,1200,1150,85.27,10045,92.62,5.45,12.4,24.14,61.56,62.62
13-May,229,9.05,3.99,300,17,2.75,476.6666667,3.05,900,1000,1100,1220,1280,1300,1310,1150,,10280,93.22,5.03,12.03,22.05,63.12,63.7
6/23/2023,199,13.4,3.74,450,13.96,2.9,483,3.8,920,1020,1120,1170,1260,1200,1210,1150,74.89,11495,93.59,4.64,12.55,23.51,62.12,62.95
6/24/2023,195,13.43,3.72,220,13.85,2.94,495,3.933333333,920,1020,1120,1170,1260,1220,1210,1150,82.05,11840,93.52,4.7,12.47,23.59,62.17,63.01
26-Jan,182,13.97,4.99,250,15,2.55,537.3333333,3.5,900,1050,1150,1250,1300,1300,1280,1150,85.83,12030,92.86,5.16,11.77,24.31,61.61,62.56
12/28/2022,203,14.03,6.05,0,13.02,2.9,501,4.1,900,1000,1100,1150,1260,1280,1150,1150,,12405,93.85,4.59,12.17,22.52,62.54,63.47
